"formationid";"formationtitle";"moduleid";"moduleorder";"moduletitle";"moduledescription"
"1";"Formation Microsoft MS-050 : SharePoint Hybrid Deployment and Migration";"93673";"10";"Migrer le contenu vers Microsoft 365";"<p>Ce module se concentre sur l&rsquo;utilisation de l&rsquo;outil de migration SharePoint (SPMT) pour migrer le</p><div>contenu vers le cloud. Plus précisément, il traite de l&rsquo;exigence et des limites de SPMT. Il présente</div><div>différentes méthodes de migration pour différentes sources de données, telles que les partages de fichiers et le contenu SharePoint.</div><div>Migrer du contenu avec SPMT</div><div>Migrer du contenu avec Migration Manager</div><div>Migrer du contenu avec Mover</div><div>Après avoir terminé ce module, les étudiants seront capables de :</div><div>Accédez aux données à migrer à l&rsquo;aide de l&rsquo;outil d&rsquo;évaluation de la migration SharePoint (SMAT).</div><div>Migrez le contenu vers le cloud à l&rsquo;aide de l&rsquo;outil de&nbsp; migration SharePoint (SPMT).</div><div>Migrez le contenu vers le cloud à l&rsquo;aide de Migration Manager.</div><div>Migrez le contenu vers le cloud à l&rsquo;aide de Mover.</div><div>Gérez et surveillez le processus de migration</div>"
"2";"Formation MS-900 – Microsoft 365 Notions fondamentales ";"128450";"0";"Comprendre les concepts cloud";"<p>Principes du Cloud Computing<br />Services Cloud Microsoft<br />Migration vers des services Cloud</p>"
"2";"Formation MS-900 – Microsoft 365 Notions fondamentales ";"128451";"1";"Services Microsof 365";"<p>Les basiques Microsoft 365<br />Services Microsoft sur site et services Cloud dans Microsoft 365<br />Gestion unifiée des points de terminaison dans Microsoft 365<br />Travail d&rsquo;équipe dans Microsoft 365</p>"
"2";"Formation MS-900 – Microsoft 365 Notions fondamentales ";"128452";"2";"Assurer la sécurité, confidentialité et conformité";"<p>Principes fondamentaux de la sécurité organisationnelle<br />Fonctions de sécurité dans Microsoft 365<br />Gestion des identités et des accès<br />Protection des périphériques et des données dans Microsoft 365<br />Conformité dans Microsoft 365</p>"
"2";"Formation MS-900 – Microsoft 365 Notions fondamentales ";"128453";"3";"Tarification et support Microsoft 365";"<p>Abonnements, licences et facturation Microsoft 365<br />Support dans Microsoft 365</p>"
"3";"Formation Crystal Reports";"81239";"0";"Définition d’un rapport";"<p>Comprendre les concepts de base de données<br />Élaboration d’un prototype</p>"
"3";"Formation Crystal Reports";"81248";"1";"Création d’un rapport";"<p>o	Connexion à la source de données<br />o	Sélection des tables<br />o	Présentation de l’interface de développement<br />Insertion d’objets dans un rapport<br />Positionnement et dimensionnement des objets<br />Formatage des objets<br />Prévisualisation et sauvegarde</p>"
"3";"Formation Crystal Reports";"81246";"2";"Sélection d’enregistrements";"<p>Apprendre à utiliser l’expert sélection<br />Ajout et modification de critères de sélection<br />Options de sauvegarde et de rafraîchissement des données</p>"
"3";"Formation Crystal Reports";"81245";"3";"Valorisation des données";"<p>Tri des enregistrements<br />Regroupement des données<br />Effectuer des calculs</p>"
"3";"Formation Crystal Reports";"81244";"4";"Formatage";"<p>Ajout d’éléments graphiques dans le rapport (lignes, cadres, images)<br />Utilisation et mise en forme des champs spéciaux</p>"
"3";"Formation Crystal Reports";"81243";"5";"Sections";"<p>Création et mise en forme des sections<br />Création d’un rapport de synthèse</p>"
"3";"Formation Crystal Reports";"81242";"6";"Formules simples";"<p>o	Définition et création de formules<br />Les formules de type Booléennes<br />Les formules de type If Then Else<br />Calculs sur les dates et sur les nombres<br />Manipulation des chaînes de caractères</p>"
"3";"Formation Crystal Reports";"81241";"7";"Formatage conditionnel";"<p>Tendances<br />Formatage conditionnel des données</p>"
"3";"Formation Crystal Reports";"81240";"8";"Création de diagrammes";""
"3";"Formation Crystal Reports";"81247";"9";"Distribution des rapports";"<p>Exporter son rapport Crystal Reports sous d’autres formats tels que pdf, html, xls&#8230;</p>"
"4";"Formation QlikView – Créer des tableaux de bord";"81217";"0";"Architecture Qlikview";"<p>•	Description générale de Qlikview<br />•	Définitions et terminologie<br />•	Composants majeurs de Qlikview</p>"
"4";"Formation QlikView – Créer des tableaux de bord";"81216";"1";"Présentation de l'interface Qlikview";"<p>•	L’interface : principes et description<br />•	Méthodologie : les étapes à suivre<br />•	Utiliser l’interface<br />•	Mettre en oeuvre une feuille<br />•	Implémenter une liste déroulante<br />•	Implémenter une table</p>"
"4";"Formation QlikView – Créer des tableaux de bord";"81218";"2";"Créer des objets";"<p>•	Principe de création d’objets personnalisés<br />•	Utiliser des objets<br />•	Mettre en oeuvre des tris<br />•	Importer et exporter des données<br />•	Créer et utiliser des onglets</p>"
"4";"Formation QlikView – Créer des tableaux de bord";"81219";"3";"Exploiter des objets multidimensionnels";"<p>•	Mettre en oeuvre des tableaux pivot<br />•	Implémenter des tableaux simples avec des expressions multiples</p>"
"4";"Formation QlikView – Créer des tableaux de bord";"81220";"4";"Les objets complémentaires";"<p>•	Les jauges<br />•	Les boutons<br />•	Les récipients<br />•	Les objets glissière/calendrier<br />•	Les objets liés</p>"
"4";"Formation QlikView – Créer des tableaux de bord";"81221";"5";"Créer et gérer les rapports Qlikview";"<p>•	Mettre en oeuvre des calculs<br />•	Utiliser le set analysis<br />•	Implémenter des variables<br />•	L&rsquo;utilisation avancée des listes<br />•	Mettre en oeuvre la recherche associative</p>"
"6";"Formation Agile Scrum Kanban Lean XP";"81233";"0";"Présentation générale";"<p>•	Présentation des méthodes : Prédictif vs. Agile<br />•	Description des méthodes agiles (manifeste agile, valeurs…)</p>"
"6";"Formation Agile Scrum Kanban Lean XP";"81234";"1";"Découverte de Lean (Startup)";"<p>TP Lean :<br />•	Lancement d&rsquo;un nouveau produit : Lean Canvas<br />•	Un des projets sera réutilisé pour les TPs de la suite de la formation</p>"
"6";"Formation Agile Scrum Kanban Lean XP";"81235";"2";"Apprendre la méthodologie Scrum";"<p>•	Définition du Product backlog<br />•	Backlog Refinement Meeting (Backlog grooming)</p><p>•	Organisation des sprints<br />o	Sprint Meeting Planning : 1h<br />•	Création de backlog sprint et estimation des US (Poker planning)<br />•	Découpage en tâches (estimées en h par l&rsquo;équipe)<br />•	Précision des User Stories / Epic Stories et validation (Definition of Done / S.M.A.R.T)<br />o	Exécution :<br />•	Sample Daily Scrum Meeting<br />•	Post-Mortem<br />o	Sprint Review<br />o	Sprint Retrospective</p>"
"6";"Formation Agile Scrum Kanban Lean XP";"81237";"3";"TP Scrum";"<p>Organisation :<br />4 sprints<br />Groupes de 4 à 6 (mixup des profils) :<br />o	Product owner<br />o	Scrum master et/ou Lead Dev<br />o	Equipe dév (1 ou 2)<br />o	PO / Client</p><p>&#8211;	1er sprint : On planifie mais on affecte aussi les US aux Dévs<br />&#8211;	2eme sprint : On planifie mais on n&rsquo;affecte pas (amélioration de la vélocité à sprint+1). Analyse burndown chart.<br />&#8211;	3eme sprint : Non-respect des engagements. Amélioration des processus. Revue Definition of Done. Analyse Post-Mortem…</p>"
"6";"Formation Agile Scrum Kanban Lean XP";"81236";"4";" Présentation Kanban";"<p>•	Contexte d’utilisation et avantages<br />•	Kanban pas-à-pas<br />•	Appliquer Kanban sur Scrum (Scrumban)</p><p>TP Kanban</p>"
"6";"Formation Agile Scrum Kanban Lean XP";"81238";"5";"Découverte eXtreme Programming";"<p>TP eXtreme Programming :<br />•	Ajout des bonnes pratiques de développements sur un des sprints du TP et impact (sprint 4)<br />•	Impact sur l&rsquo;organisation, sur la vélocité, amélioration des processus…</p><p>Ouverture<br />o	Les outils informatiques à disposition<br />o	Prise de hauteur : Transformer une organisation pour agile ?<br />o	Évaluation</p>"
"7";"Formation VMware vSAN 8";"137753";"0";"GESTION DES NOEUDS VSAN";"<p>Comprendre l&rsquo;importance de la compatibilité matérielle<br />Assurer la compatibilité des versions du pilote et du firmware<br />Utiliser des outils pour automatiser la validation et l&rsquo;installation des pilotes<br />Appliquer les paramètres matériels de l’hôte pour des performances optimales<br />Utilisez vSphere Lifecycle Manager pour effectuer des mises à niveau</p>"
"7";"Formation VMware vSAN 8";"137751";"1";"OPÉRATIONS DE RÉSILIENCE VSAN ET DE DISPONIBILITÉ DES DONNÉES";"<p>Décrire les politiques de stockage vSAN<br />Reconnaître l’impact d’un changement de politique de stockage vSAN<br />Décrire et configurer l’option avancée du minuteur de réparation d’objet<br />Planifier le remplacement de disque dans un cluster vSAN<br />Planifier les tâches de maintenance pour éviter les pannes d&rsquo;objets vSAN<br />Reconnaître l’importance de la gestion de l’utilisation des snapshots dans un cluster vSAN<br />Configurer les domaines de pannes vSAN</p>"
"7";"Formation VMware vSAN 8";"137760";"2";"MAINTENANCE DU CLUSTER VSAN";"<p>Effectuer des opérations de maintenance vSAN typiques<br />Décrire les modes de maintenance vSAN et les options d&rsquo;évacuation des données<br />Évaluer l&rsquo;impact sur les objets du cluster de l&rsquo;entrée en mode maintenance<br />Déterminer les actions de données spécifiques requises après la sortie du mode maintenance<br />Définir les étapes à suivre pour arrêter et redémarrer les hôtes et les clusters vSAN<br />Migrer vSAN vers une nouvelle instance de vCenter Server<br />Utiliser les meilleures pratiques pour les périphériques de démarrage<br />Mettre à niveau et mettre à jour vSAN<br />Remplacer le matériel vSAN en utilisant des stratégies d’intégration et d’extension</p>"
"7";"Formation VMware vSAN 8";"137758";"3";"MAILLAGE HCI UTILISANT UN VSAN DISTANT";"<p>Cas d&rsquo;utilisation de vSAN distant<br />Comprendre l’architecture de haut niveau<br />Décrire les opérations de la banque de données distante<br />Besoins du réseau<br />Interopérabilité entre vSAN distant et VMware vSphere-High Availability</p>"
"7";"Formation VMware vSAN 8";"137757";"4";"GESTION DES OPÉRATIONS DE CLUSTER VSAN AVANCÉES";"<p>Décrire l&rsquo;architecture des clusters étendus et des clusters à deux noeuds<br />Comprendre l’importance de Witness Node<br />Décrire comment les stratégies de stockage de cluster étendues affectent les objets vSAN<br />Créer et appliquer une stratégie de cluster étendu vSAN pour répondre à des besoins spécifiques<br />Scénarios de défaillance de cluster étendus et des réponses</p>"
"7";"Formation VMware vSAN 8";"137756";"5";"GESTION DES OPÉRATIONS D'EFFICACITÉ DE L'ESPACE DE STOCKAGE VSAN";"<p>Techniques de déduplication et de compression<br />Comprendre les frais généraux de déduplication et de compression<br />Discuter du mode de compression uniquement<br />Configurer le codage d&rsquo;effacement<br />Configurer le Thin Provisioning des objets d&rsquo;échange<br />Discuter de la récupération d’espace de stockage avec SCSI UNMAP<br />Configurer TRIM / UNMAP</p>"
"7";"Formation VMware vSAN 8";"137755";"6";"OPÉRATIONS DE SÉCURITÉ VSAN";"<p>Identifier les différences entre le cryptage VM et le cryptage vSAN<br />Effectuer des opérations en cours pour maintenir la sécurité des données<br />Décrire le flux de travail du chiffrement des données en transit<br />Identifier les étapes du remplacement du serveur de gestion de clés</p>"
"7";"Formation VMware vSAN 8";"137754";"7";"SURVEILLANCE DU CLUSTER VSAN";"<p>Comment le programme d&rsquo;amélioration de l&rsquo;expérience client (CEIP) permet à VMware d&rsquo;améliorer ses produits et services<br />Utiliser vSphere Skyline Health pour surveiller l&rsquo;état du cluster vSAN<br />Gérer les alertes, les alarmes et les notifications liées à vSAN dans vSphere Client<br />Créer et configurer des alarmes personnalisées pour déclencher des problèmes de santé vSAN<br />Utiliser les métriques IO Insight pour surveiller les performances de vSAN<br />Analyser les mesures de performance vsantop<br />Utiliser vSAN Proactive Test pour détecter et diagnostiquer les problèmes de cluster</p>"
"7";"Formation VMware vSAN 8";"137752";"8";"VSAN DIRECT";"<p>Cas d&rsquo;utilisation de vSAN Direct<br />Comprendre l’architecture globale de vSAN Direct<br />Décrire le flux de travail de la création de la banque de données vSAN Direct<br />Découvrir comment vSAN Direct fonctionne avec le balisage de stratégie de stockage</p>"
"7";"Formation VMware vSAN 8";"137759";"9";"SERVICE DE FICHIERS NATIF VSAN";"<p>Discuss the use cases for vSAN file service<br />Understand the high-level architecture of vSAN file service<br />Discuss the authentication model<br />Configure file shares<br />Monitor file share health and capacity utilization</p>"
"8";"Formation VMware Horizon 8 – Deploy and Manage";"137601";"0";"PRÉSENTATION DE VMWARE HORIZON";"<p>Reconnaître les fonctionnalités et les avantages d&rsquo;Horizon<br />Décrire l&rsquo;architecture conceptuelle et logique d&rsquo;Horizon</p>"
"8";"Formation VMware Horizon 8 – Deploy and Manage";"137591";"1";"INTRODUCTION AU CAS D'UTILISATION";"<p>Identifier les cas d’utilisation d’une infrastructure de bureaux virtuels et d’applications<br />Convertir les besoins client en cas d&rsquo;utilisation</p>"
"8";"Formation VMware Horizon 8 – Deploy and Manage";"137590";"2";"VSPHERE POUR VMWARE HORIZON";"<p>Expliquer les concepts de virtualisation de base<br />Utiliser VMware vSphere® Client pour accéder au système vCenter Server et aux hôtes VMware ESXi<br />Créer, provisionner et supprimer une machine virtuelle</p>"
"8";"Formation VMware Horizon 8 – Deploy and Manage";"137606";"3";"VMWARE HORIZON DESKTOPS";"<p>Créer une machine virtuelle Windows et Linux à l&rsquo;aide de vSphere<br />Optimiser et préparer les machines virtuelles Windows et Linux pour configurer les VM de bureaux Horizon</p>"
"8";"Formation VMware Horizon 8 – Deploy and Manage";"137604";"4";"LES AGENTS VMWARE HORIZON";"<p>Décrire les choix de configuration lors de l&rsquo;installation d&rsquo;Horizon Agent sur des machines virtuelles Windows et Linux<br />Créez un maître pour les postes de travail Windows Horizon</p>"
"8";"Formation VMware Horizon 8 – Deploy and Manage";"137603";"5";"POOLS VMWARE HORIZON";"<p>Identifier les étapes de configuration d&rsquo;un modèle de déploiement de pool de postes de travail<br />Répertorier les étapes d&rsquo;ajout de postes de travail à l&rsquo;inventaire VMware Horizon® Connection Server<br />Comparer les pools d&rsquo;attribution dédiée et flottante<br />Décrire les étapes de création d&rsquo;un pool automatisé<br />Définir le droit d’utilisateur<br />Expliquer la hiérarchie des stratégies globales, au niveau du pool et au niveau de l&rsquo;utilisateur</p>"
"8";"Formation VMware Horizon 8 – Deploy and Manage";"137602";"6";"OPTIONS DU CLIENT VMWARE HORIZON";"<p>Décrire les différents clients et leurs avantages<br />Accéder au poste de travail Horizon à l&rsquo;aide de divers clients Horizon et HTML<br />Configurer l&rsquo;impression intégrée, la redirection USB et l&rsquo;option des dossiers partagés<br />Configurer la collaboration de session et l&rsquo;optimisation des médias pour Microsoft Teams</p>"
"8";"Formation VMware Horizon 8 – Deploy and Manage";"137593";"7";"CRÉATION ET GESTION DE POOLS DE POSTES DE TRAVAIL INSTANT-CLONE";"<p>Répertorier les avantages des clones instantanés<br />Expliquer la technologie de provisionnement utilisée pour les pools de postes de travail de clônes instantanés<br />Configurer un pool automatisé de clones instantanés<br />Transférer les images mises à jour vers les pools de postes de travail de clônes instantanés</p>"
"8";"Formation VMware Horizon 8 – Deploy and Manage";"137597";"8";"CRÉATION DE POOLS DE POSTES DE TRAVAIL ET D'APPLICATIONS RDS";"<p>Expliquer la différence entre un pool de postes de travail RDS et un pool automatisé<br />Comparer et mettre en contraste un pool d&rsquo;hôtes de session RDS, une batterie de serveurs et un pool d&rsquo;applications<br />Créer un pool de postes de travail RDS et un pool d&rsquo;applications<br />Accéder à RDS postes de travail et applications d&rsquo;Horizon Client<br />Utiliser la technologie de clone instantané pour automatiser la création de batteries RDSH<br />Configurer l&rsquo;équilibrage de charge pour les RDSH sur une batterie</p>"
"8";"Formation VMware Horizon 8 – Deploy and Manage";"137599";"9";"SURVEILLANCE DE VMWARE HORIZON";"<p>Surveiller l&rsquo;état des composants Horizon à l&rsquo;aide du tableau de bord de la console Horizon Administrator<br />Surveiller les sessions de bureau à l&rsquo;aide de l&rsquo;outil HelpDesk</p>"
"8";"Formation VMware Horizon 8 – Deploy and Manage";"137605";"10";"SERVEUR DE CONNEXION HORIZON";"<p>Reconnaître l&rsquo;architecture de référence de VMware Horizon<br />Identifier les fonctionnalités prises en charge d&rsquo;Horizon Connection Server<br />Identifier la configuration système requise pour Horizon Connection Server<br />Configurer la base de données d&rsquo;événements Horizon<br />Décrire les étapes de la configuration initiale d&rsquo;Horizon Connection Server<br />Discuter de la base de données ADAM en tant que composant critique de l&rsquo;installation d&rsquo;Horizon Connection Server</p>"
"8";"Formation VMware Horizon 8 – Deploy and Manage";"137598";"11";"AUTHENTIFICATION ET CERTIFICATS";"<p>Comparer les options d&rsquo;authentification prises en charge par Horizon Connection Server<br />Décrire les options d&rsquo;authentification par carte à puce prises en charge par Horizon Connection Server<br />Décrire les étapes de création d&rsquo;un administrateur Horizon et de rôles personnalisés<br />Décrire les rôles disponibles dans un environnement Horizon<br />Expliquer le rôle que les certificats sont lus pour Horizon Connection Server<br />Installer et configurer des certificats pour Horizon Connection Server<br />Installer et configurer True SSO dans un environnement Horizon</p>"
"8";"Formation VMware Horizon 8 – Deploy and Manage";"137596";"12";"WORKSPACE ONE ACCESS ET GESTION DES APPLICATIONS VIRTUELLES";"<p>Reconnaître les fonctionnalités et les avantages de Workspace ONE Access<br />Reconnaître les fonctionnalités de la console Workspace ONE Access<br />Expliquer la gestion des identités dans Workspace ONE Access<br />Expliquer la gestion des accès dans Workspace ONE Access<br />Décrire l&rsquo;intégration de l&rsquo;annuaire Workspace ONE Access<br />Déployer des applications virtuelles avec les services Workspace</p>"
"8";"Formation VMware Horizon 8 – Deploy and Manage";"137595";"13";"PROTOCOLES HORIZON";"<p>Comparer les protocoles d&rsquo;affichage à distance disponibles dans VMware Horizon<br />Décrire les codecs du protocole d&rsquo;affichage BLAST<br />Décrire les configurations communes des objets de stratégie de groupe BLAST et PCoIP ADMX</p>"
"8";"Formation VMware Horizon 8 – Deploy and Manage";"137594";"14";"CARTES GRAPHIQUES";"<p>Décrire les options de rendu 3D disponibles dans Horizon 8<br />Comparer vSGA et vDGA<br />Répertorier les étapes de configuration des cartes graphiques à utiliser dans un environnement VMware Horizon</p>"
"8";"Formation VMware Horizon 8 – Deploy and Manage";"137592";"15";"ÉVOLUTIVITÉ HORIZON";"<p>Décrire l&rsquo;objectif d&rsquo;un serveur de connexion de réplica<br />Expliquer comment plusieurs instances d&rsquo;Horizon Connection Server dans un pod maintiennent la synchronisation<br />Expliquer la réplication LDAP et VIPA de l&rsquo;architecture Horizon Cloud Pod<br />Expliquer les options d&rsquo;évolutivité de l&rsquo;architecture Horizon Cloud Pod</p>"
"8";"Formation VMware Horizon 8 – Deploy and Manage";"137600";"16";"SÉCURITÉ HORIZON";"<p>Expliquer les concepts relatifs à la sécurisation des connexions Horizon<br />Décrire comment restreindre les connexions Horizon<br />Discuter des avantages de l&rsquo;utilisation d&rsquo;Unified Access Gateway<br />Répertorier les options d&rsquo;authentification à deux facteurs prises en charge par Unified Access Gateway<br />Répertorier les règles de pare-feu d&rsquo;Unified Access Gateway<br />Décrire la situation dans laquelle vous pourriez déployer des instances d&rsquo;Unified Access Gateway avec un, deux ou trois interfaces réseau</p>"
"9";"Formation MS-100 – Microsoft 365 Gestion des identités et services";"133780";"0";"Concevoir votre locataire Microsoft 365";"<p>Planifier votre expérience Microsoft 365.<br />Planifier Microsoft 365 dans votre infrastructure sur site.<br />Planifier votre solution d’identité et d’authentification.<br />Planifier la configuration de votre service.<br />Planifier votre environnement hybride.<br />Planifier votre migration vers Office 365.</p><p>TP : Transition vers Microsoft 365</p>"
"9";"Formation MS-100 – Microsoft 365 Gestion des identités et services";"133778";"1";"Gestion des abonnements et des services de Microsoft 365";"<p>Configurer votre expérience Microsoft 365.<br />Gérer les comptes utilisateurs et les licences dans Microsoft 365.<br />Gérer les groupes de sécurité dans Microsoft 365.<br />Mettre en œuvre les services de Your Domain.<br />Tirer parti de FastTrack et des services des partenaires.</p><p>TP : Configurer votre locataire Microsoft 365.</p>"
